Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-31 00:00:00+05:30,604.5119436932094,610.9716524683939,574.6237933670699,592.845947265625,219576,0.0,0.0
2017-02-01 00:00:00+05:30,597.7629749483484,612.2249824067761,586.1933689816061,610.3449096679688,88030,0.0,0.0
2017-02-02 00:00:00+05:30,607.4043368969087,621.287888135834,602.583667556457,617.7205810546875,76203,0.0,0.0
2017-02-03 00:00:00+05:30,616.7564851055789,620.8058593697314,608.7059315044296,611.3572998046875,97302,0.0,0.0
2017-02-06 00:00:00+05:30,607.5007939491853,622.5413192628675,607.5007939491853,616.8529052734375,54012,0.0,0.0
2017-02-07 00:00:00+05:30,615.9368608053131,621.6252738211222,610.2967015568365,615.1173706054688,42580,0.0,0.0
2017-02-08 00:00:00+05:30,616.9974908398699,621.8663551848958,605.4760791567668,608.8987426757812,55630,0.0,0.0
2017-02-09 00:00:00+05:30,611.2608356476426,612.2731643791093,593.713588533341,597.8111572265625,230927,0.0,0.0
2017-02-10 00:00:00+05:30,601.6196059487842,625.4819220501182,597.763070013215,617.6242065429688,302035,0.0,0.0
2017-02-13 00:00:00+05:30,615.1174202696845,635.1713933619288,610.3449457570003,632.2789916992188,141163,0.0,0.0
2017-02-14 00:00:00+05:30,631.6041552935474,657.4429933835256,628.9527868127232,651.1278686523438,302526,0.0,0.0
2017-02-15 00:00:00+05:30,652.2366515506613,655.32189212248,626.7834903907444,640.5223999023438,89118,0.0,0.0
2017-02-16 00:00:00+05:30,643.4630109154516,647.3195466504053,632.182632121499,637.7745971679688,23617,0.0,0.0
2017-02-17 00:00:00+05:30,638.7868980652726,643.0773056518022,629.6276260957192,639.9920654296875,176694,0.0,0.0
2017-02-20 00:00:00+05:30,636.8586553005089,650.7904023496515,633.0503145101386,647.7533569335938,98942,0.0,0.0
2017-02-21 00:00:00+05:30,647.512283710316,655.611031758701,642.1131575754337,648.42822265625,72728,0.0,0.0
2017-02-22 00:00:00+05:30,647.9463019965767,651.7546434129531,640.1850343582853,644.8128662109375,32932,0.0,0.0
2017-02-23 00:00:00+05:30,648.8621323688568,678.7020891556272,648.8621323688568,666.0718994140625,186604,0.0,0.0
2017-02-27 00:00:00+05:30,670.0730690466626,695.1405507663939,664.6256889037569,689.9342041015625,168296,0.0,0.0
2017-02-28 00:00:00+05:30,694.1764802213763,698.7079217920352,677.9790407854248,680.5822143554688,51864,0.0,0.0
2017-03-01 00:00:00+05:30,676.0988931120671,695.3815709904862,676.0988931120671,690.0306396484375,51551,0.0,0.0
2017-03-02 00:00:00+05:30,694.12816481323,702.8535642323624,674.8936830763424,676.6773071289062,67426,0.0,0.0
2017-03-03 00:00:00+05:30,679.1358764529638,682.6067346159779,660.5280469211906,663.3722534179688,53474,0.0,0.0
2017-03-06 00:00:00+05:30,672.8690331309872,679.039454423713,661.1065884673358,666.45751953125,33185,0.0,0.0
2017-03-07 00:00:00+05:30,666.2165776930227,687.2828815389553,662.360041787419,674.9901733398438,66964,0.0,0.0
2017-03-08 00:00:00+05:30,672.7243763608162,682.5585531445465,661.3958039176208,676.9183349609375,31449,0.0,0.0
2017-03-09 00:00:00+05:30,672.1459812759313,682.9924878018538,666.3611777954392,674.2670288085938,14186,0.0,0.0
2017-03-10 00:00:00+05:30,679.1359488644584,681.5944785625674,661.5886999559303,663.5169677734375,25989,0.0,0.0
2017-03-14 00:00:00+05:30,684.3423307358588,685.4511084217669,666.7468844823824,673.0619506835938,34639,0.0,0.0
2017-03-15 00:00:00+05:30,660.5281079353965,682.5104078185572,660.5281079353965,675.3757934570312,68995,0.0,0.0
2017-03-16 00:00:00+05:30,681.6427855672782,682.6069196345586,668.6751705931414,679.0396118164062,67207,0.0,0.0
