Week,Symbol,down,no change,up
2019-18,HDFCBANK.NS,4,0,1
2019-18,TCS.NS,2,0,3
2019-19,HDFCBANK.NS,2,0,3
2019-19,TCS.NS,3,0,2
2019-20,HDFCBANK.NS,2,0,3
2019-20,TCS.NS,4,0,1
2019-21,HDFCBANK.NS,1,0,4
2019-21,TCS.NS,0,0,5
2019-22,HDFCBANK.NS,2,0,2
2019-22,TCS.NS,2,0,2
2019-23,HDFCBANK.NS,3,0,2
2019-23,TCS.NS,1,0,4
2019-24,HDFCBANK.NS,3,0,2
2019-24,TCS.NS,2,0,3
2019-25,HDFCBANK.NS,2,0,3
2019-25,TCS.NS,4,0,1
2019-26,HDFCBANK.NS,3,0,2
2019-26,TCS.NS,2,0,3
2019-27,HDFCBANK.NS,3,0,2
2019-27,TCS.NS,3,0,2
2019-28,HDFCBANK.NS,2,0,3
2019-28,TCS.NS,2,0,3
2019-29,HDFCBANK.NS,3,0,2
2019-29,TCS.NS,2,0,3
2019-30,HDFCBANK.NS,4,0,1
2019-30,TCS.NS,1,0,4
2019-31,HDFCBANK.NS,2,0,3
2019-31,TCS.NS,3,0,2
2019-32,HDFCBANK.NS,2,0,1
2019-32,TCS.NS,2,0,1
2019-33,HDFCBANK.NS,3,0,2
2019-33,TCS.NS,2,0,3
2019-34,HDFCBANK.NS,2,0,3
2019-34,TCS.NS,2,0,3
2019-35,HDFCBANK.NS,2,0,2
2019-35,TCS.NS,4,0,0
2019-36,HDFCBANK.NS,1,0,3
2019-36,TCS.NS,3,0,1
2019-37,HDFCBANK.NS,3,0,2
2019-37,TCS.NS,3,0,2
2019-38,HDFCBANK.NS,2,0,3
2019-38,TCS.NS,3,0,2
2019-39,HDFCBANK.NS,3,0,1
2019-39,TCS.NS,1,0,3
2019-40,HDFCBANK.NS,3,0,1
2019-40,TCS.NS,4,0,0
2019-41,HDFCBANK.NS,2,0,3
2019-41,TCS.NS,1,0,4
2019-42,HDFCBANK.NS,2,0,2
2019-42,TCS.NS,1,0,3
2019-43,HDFCBANK.NS,1,0,4
2019-43,TCS.NS,2,0,3
2019-44,HDFCBANK.NS,2,0,3
2019-44,TCS.NS,4,0,1
2019-45,HDFCBANK.NS,1,0,3
2019-45,TCS.NS,2,0,2
2019-46,HDFCBANK.NS,2,0,3
2019-46,TCS.NS,4,0,1
2019-47,HDFCBANK.NS,1,0,4
2019-47,TCS.NS,2,0,3
2019-48,HDFCBANK.NS,4,0,1
2019-48,TCS.NS,1,0,4
2019-49,HDFCBANK.NS,2,0,3
2019-49,TCS.NS,3,0,2
2019-50,HDFCBANK.NS,2,0,3
2019-50,TCS.NS,1,0,4
2019-51,HDFCBANK.NS,2,0,2
2019-51,TCS.NS,3,0,1
2019-52,HDFCBANK.NS,1,0,1
2019-52,TCS.NS,2,0,0
2020-00,HDFCBANK.NS,1,0,2
2020-00,TCS.NS,1,0,2
2020-01,HDFCBANK.NS,2,0,3
2020-01,TCS.NS,3,0,2
2020-02,HDFCBANK.NS,2,0,3
2020-02,TCS.NS,2,0,3
