Month,Symbol,down,no change,up
2021-04,TCS.NS,12,0,7
2021-05,HDFCBANK.NS,9,0,11
2021-05,TCS.NS,6,0,14
2021-06,HDFCBANK.NS,12,0,10
2021-06,TCS.NS,7,0,15
2021-07,HDFCBANK.NS,11,0,10
2021-07,TCS.NS,16,0,5
2021-08,HDFCBANK.NS,7,0,14
2021-08,TCS.NS,4,0,17
2021-09,HDFCBANK.NS,12,0,9
2021-09,TCS.NS,10,0,11
2021-10,HDFCBANK.NS,11,0,9
2021-10,TCS.NS,13,0,7
2021-11,HDFCBANK.NS,9,0,11
2021-11,TCS.NS,6,0,14
2021-12,HDFCBANK.NS,12,0,11
2021-12,TCS.NS,7,0,16
2022-01,HDFCBANK.NS,9,0,11
2022-01,TCS.NS,9,0,11
2022-02,HDFCBANK.NS,11,0,9
2022-02,TCS.NS,11,0,9
2022-03,HDFCBANK.NS,9,0,12
2022-03,TCS.NS,10,0,11
2022-04,HDFCBANK.NS,11,0,8
2022-04,TCS.NS,10,0,9
2022-05,HDFCBANK.NS,9,0,12
2022-05,TCS.NS,12,0,9
2022-06,HDFCBANK.NS,12,0,10
2022-06,TCS.NS,12,0,10
2022-07,HDFCBANK.NS,7,0,14
2022-07,TCS.NS,11,0,10
2022-08,HDFCBANK.NS,9,0,11
2022-08,TCS.NS,11,0,9
2022-09,HDFCBANK.NS,13,0,9
2022-09,TCS.NS,10,0,12
2022-10,HDFCBANK.NS,10,0,9
2022-10,TCS.NS,7,0,12
2022-11,HDFCBANK.NS,10,0,11
2022-11,TCS.NS,10,0,11
2022-12,HDFCBANK.NS,10,0,12
2022-12,TCS.NS,14,0,8
2023-01,HDFCBANK.NS,9,0,12
2023-01,TCS.NS,9,0,12
2023-02,HDFCBANK.NS,11,0,9
2023-02,TCS.NS,10,0,10
2023-03,HDFCBANK.NS,10,0,11
2023-03,TCS.NS,13,0,8
2023-04,HDFCBANK.NS,4,0,13
2023-04,TCS.NS,8,0,9
2023-05,HDFCBANK.NS,9,0,13
2023-05,TCS.NS,11,0,11
2023-06,HDFCBANK.NS,8,0,13
2023-06,TCS.NS,11,0,10
2023-07,HDFCBANK.NS,10,0,11
2023-07,TCS.NS,8,0,13
2023-08,HDFCBANK.NS,16,0,6
2023-08,TCS.NS,12,0,10
2023-09,HDFCBANK.NS,8,0,12
2023-09,TCS.NS,8,0,12
2023-10,HDFCBANK.NS,11,0,9
2023-10,TCS.NS,12,0,8
2023-11,HDFCBANK.NS,8,0,12
2023-11,TCS.NS,10,0,10
2023-12,HDFCBANK.NS,7,0,13
2023-12,TCS.NS,7,0,13
2024-01,HDFCBANK.NS,13,0,8
2024-01,TCS.NS,10,0,11
2024-02,HDFCBANK.NS,13,0,8
2024-02,TCS.NS,10,0,11
2024-03,HDFCBANK.NS,7,0,11
2024-03,TCS.NS,10,0,8
2024-04,HDFCBANK.NS,10,0,10
2024-04,TCS.NS,11,0,9
2024-05,HDFCBANK.NS,7,0,14
2024-05,TCS.NS,14,0,7
2024-06,HDFCBANK.NS,6,0,13
2024-06,TCS.NS,8,0,11
2024-07,HDFCBANK.NS,12,0,10
2024-07,TCS.NS,10,0,12
2024-08,HDFCBANK.NS,9,0,12
2024-08,TCS.NS,7,0,14
2024-09,HDFCBANK.NS,7,0,14
